step,episodes,frames_total,condition,delay,loss,accuracy,gradient_norm,clipped,frames,seconds,diagnostics,first_trial_id
3039,24312,510440,motion_duration_cued_D0,0,1.385577917098999,0.25,0.36119523644447327,0,11,0.5732688903808594,{},SpatialBattery/train/61973001/motion_duration_cued/24304
3040,24320,510720,motion_duration_cued_D24,24,1.3859412670135498,0.25,0.34177568554878235,0,35,1.9112880229949951,{},SpatialBattery/train/61973001/motion_duration_cued/24312
3041,24328,511000,motion_duration_cued_D24,24,1.385838270187378,0.375,0.5900049805641174,0,35,1.8492064476013184,{},SpatialBattery/train/61973001/motion_duration_cued/24320
3042,24336,511120,motion_duration_cued_D4,4,1.3864504098892212,0.125,0.6108134388923645,0,15,0.7761576175689697,{},SpatialBattery/train/61973001/motion_duration_cued/24328
3043,24344,511304,motion_duration_cued_D12,12,1.3866918087005615,0.25,0.3343522548675537,0,23,1.2149262428283691,{},SpatialBattery/train/61973001/motion_duration_cued/24336
3044,24352,511392,motion_duration_cued_D0,0,1.3873869180679321,0.25,0.35178661346435547,0,11,0.5783438682556152,{},SpatialBattery/train/61973001/motion_duration_cued/24344
3045,24360,511512,motion_duration_cued_D4,4,1.3873589038848877,0.125,0.35844898223876953,0,15,0.7793371677398682,{},SpatialBattery/train/61973001/motion_duration_cued/24352
3046,24368,511600,motion_duration_cued_D0,0,1.3852185010910034,0.375,0.3586013913154602,0,11,0.5779962539672852,{},SpatialBattery/train/61973001/motion_duration_cued/24360
3047,24376,511784,motion_duration_cued_D12,12,1.3867440223693848,0.125,0.7546443343162537,0,23,1.2047123908996582,{},SpatialBattery/train/61973001/motion_duration_cued/24368
3048,24384,512064,motion_duration_cued_D24,24,1.3875298500061035,0.375,0.748788595199585,0,35,1.8736939430236816,{},SpatialBattery/train/61973001/motion_duration_cued/24376
3049,24392,512184,motion_duration_cued_D4,4,1.384913444519043,0.25,0.6111196875572205,0,15,0.8295395374298096,{},SpatialBattery/train/61973001/motion_duration_cued/24384
3050,24400,512272,motion_duration_cued_D0,0,1.3902297019958496,0.25,0.6410021185874939,0,11,0.5808854103088379,{},SpatialBattery/train/61973001/motion_duration_cued/24392
3051,24408,512552,motion_duration_cued_D24,24,1.3860470056533813,0.375,0.48023146390914917,0,35,1.843442440032959,{},SpatialBattery/train/61973001/motion_duration_cued/24400
3052,24416,512736,motion_duration_cued_D12,12,1.3872756958007812,0.125,0.48749420046806335,0,23,1.2425413131713867,{},SpatialBattery/train/61973001/motion_duration_cued/24408
3053,24424,512920,motion_duration_cued_D12,12,1.3880484104156494,0.0,0.5869863033294678,0,23,1.2318601608276367,{},SpatialBattery/train/61973001/motion_duration_cued/24416
3054,24432,513008,motion_duration_cued_D0,0,1.3883953094482422,0.125,0.615261971950531,0,11,0.582505464553833,{},SpatialBattery/train/61973001/motion_duration_cued/24424
3055,24440,513128,motion_duration_cued_D4,4,1.387002944946289,0.25,0.3525118827819824,0,15,0.8050827980041504,{},SpatialBattery/train/61973001/motion_duration_cued/24432
3056,24448,513408,motion_duration_cued_D24,24,1.3866808414459229,0.125,0.3381625711917877,0,35,1.8191423416137695,{},SpatialBattery/train/61973001/motion_duration_cued/24440
3057,24456,513688,motion_duration_cued_D24,24,1.387503743171692,0.125,0.4873528480529785,0,35,1.8486082553863525,{},SpatialBattery/train/61973001/motion_duration_cued/24448
3058,24464,513776,motion_duration_cued_D0,0,1.3896950483322144,0.125,0.5167496204376221,0,11,0.5728974342346191,{},SpatialBattery/train/61973001/motion_duration_cued/24456
3059,24472,513896,motion_duration_cued_D4,4,1.387131690979004,0.125,0.359036922454834,0,15,0.7949817180633545,{},SpatialBattery/train/61973001/motion_duration_cued/24464
3060,24480,514080,motion_duration_cued_D12,12,1.3867279291152954,0.25,0.3451758027076721,0,23,1.2205333709716797,{},SpatialBattery/train/61973001/motion_duration_cued/24472
3061,24488,514264,motion_duration_cued_D12,12,1.3867465257644653,0.25,0.3453482389450073,0,23,1.2284116744995117,{},SpatialBattery/train/61973001/motion_duration_cued/24480
3062,24496,514384,motion_duration_cued_D4,4,1.3869949579238892,0.125,0.3580269515514374,0,15,0.7850675582885742,{},SpatialBattery/train/61973001/motion_duration_cued/24488
3063,24504,514664,motion_duration_cued_D24,24,1.3857043981552124,0.375,0.3412837088108063,0,35,1.8219099044799805,{},SpatialBattery/train/61973001/motion_duration_cued/24496
3064,24512,514752,motion_duration_cued_D0,0,1.385160207748413,0.25,0.3580845594406128,0,11,0.578650712966919,{},SpatialBattery/train/61973001/motion_duration_cued/24504
3065,24520,515032,motion_duration_cued_D24,24,1.387068510055542,0.125,0.35168561339378357,0,35,1.8277623653411865,{},SpatialBattery/train/61973001/motion_duration_cued/24512
3066,24528,515120,motion_duration_cued_D0,0,1.3879770040512085,0.125,0.37154412269592285,0,11,0.5794596672058105,{},SpatialBattery/train/61973001/motion_duration_cued/24520
3067,24536,515304,motion_duration_cued_D12,12,1.3866605758666992,0.125,0.3527666926383972,0,23,1.2043092250823975,{},SpatialBattery/train/61973001/motion_duration_cued/24528
3068,24544,515424,motion_duration_cued_D4,4,1.3872604370117188,0.125,0.36702078580856323,0,15,0.7826588153839111,{},SpatialBattery/train/61973001/motion_duration_cued/24536
3069,24552,515608,motion_duration_cued_D12,12,1.386398196220398,0.0,0.6944929957389832,0,23,1.2248551845550537,{},SpatialBattery/train/61973001/motion_duration_cued/24544
3070,24560,515696,motion_duration_cued_D0,0,1.3857911825180054,0.25,0.7309882044792175,0,11,0.5829057693481445,{},SpatialBattery/train/61973001/motion_duration_cued/24552
3071,24568,515976,motion_duration_cued_D24,24,1.3869664669036865,0.125,0.35226863622665405,0,35,1.806915283203125,{},SpatialBattery/train/61973001/motion_duration_cued/24560
3072,24576,516096,motion_duration_cued_D4,4,1.386818528175354,0.125,0.3666815757751465,0,15,0.7912178039550781,{},SpatialBattery/train/61973001/motion_duration_cued/24568
3073,24584,516376,motion_duration_cued_D24,24,1.3854609727859497,0.375,0.48484495282173157,0,35,1.8378574848175049,"{""first_field_gradient"": 4.887836624334341e-08, ""attention_gradient_norm"": 0.005394492764025927, ""priority_gradient_norm"": 0.4788215458393097, ""source_bias_gradient"": 3.747916707652621e-05, ""locality_gradient"": 3.7809534205734963e-06}",SpatialBattery/train/61973001/motion_duration_cued/24576
3074,24592,516560,motion_duration_cued_D12,12,1.3877618312835693,0.125,0.49393293261528015,0,23,1.2364163398742676,{},SpatialBattery/train/61973001/motion_duration_cued/24584
3075,24600,516648,motion_duration_cued_D0,0,1.3866857290267944,0.25,0.37435781955718994,0,11,0.5660800933837891,{},SpatialBattery/train/61973001/motion_duration_cued/24592
3076,24608,516768,motion_duration_cued_D4,4,1.3866777420043945,0.25,0.3632405996322632,0,15,0.7924518585205078,{},SpatialBattery/train/61973001/motion_duration_cued/24600
3077,24616,517048,motion_duration_cued_D24,24,1.3856823444366455,0.125,0.5966690182685852,0,35,1.8167567253112793,{},SpatialBattery/train/61973001/motion_duration_cued/24608
3078,24624,517136,motion_duration_cued_D0,0,1.3884385824203491,0.0,0.6425161361694336,0,11,0.5797247886657715,{},SpatialBattery/train/61973001/motion_duration_cued/24616
3079,24632,517256,motion_duration_cued_D4,4,1.3877941370010376,0.0,0.6313604712486267,0,15,0.7823724746704102,{},SpatialBattery/train/61973001/motion_duration_cued/24624
3080,24640,517440,motion_duration_cued_D12,12,1.385967493057251,0.125,0.6026337146759033,0,23,1.2581477165222168,{},SpatialBattery/train/61973001/motion_duration_cued/24632
3081,24648,517624,motion_duration_cued_D12,12,1.386290431022644,0.25,0.00418053288012743,0,23,1.2232074737548828,{},SpatialBattery/train/61973001/motion_duration_cued/24640
3082,24656,517904,motion_duration_cued_D24,24,1.386299967765808,0.25,0.0035768442321568727,0,35,1.8167669773101807,{},SpatialBattery/train/61973001/motion_duration_cued/24648
3083,24664,517992,motion_duration_cued_D0,0,1.3878413438796997,0.25,0.5461466908454895,0,11,0.5778727531433105,{},SpatialBattery/train/61973001/motion_duration_cued/24656
3084,24672,518112,motion_duration_cued_D4,4,1.386172890663147,0.125,0.523853063583374,0,15,0.7819814682006836,{},SpatialBattery/train/61973001/motion_duration_cued/24664
3085,24680,518200,motion_duration_cued_D0,0,1.3858363628387451,0.375,0.3737263083457947,0,11,0.5964694023132324,{},SpatialBattery/train/61973001/motion_duration_cued/24672
3086,24688,518320,motion_duration_cued_D4,4,1.3871278762817383,0.25,0.3707898259162903,0,15,0.777606725692749,{},SpatialBattery/train/61973001/motion_duration_cued/24680
3087,24696,518504,motion_duration_cued_D12,12,1.3870551586151123,0.25,0.35578325390815735,0,23,1.2221291065216064,{},SpatialBattery/train/61973001/motion_duration_cued/24688
3088,24704,518784,motion_duration_cued_D24,24,1.3859533071517944,0.25,0.3491785228252411,0,35,2.0212557315826416,{},SpatialBattery/train/61973001/motion_duration_cued/24696
3089,24712,518872,motion_duration_cued_D0,0,1.3863528966903687,0.25,0.36917054653167725,0,11,0.5890078544616699,{},SpatialBattery/train/61973001/motion_duration_cued/24704
3090,24720,519056,motion_duration_cued_D12,12,1.386030912399292,0.375,0.35016000270843506,0,23,1.2048661708831787,{},SpatialBattery/train/61973001/motion_duration_cued/24712
3091,24728,519176,motion_duration_cued_D4,4,1.3870415687561035,0.125,0.6411058902740479,0,15,0.7778353691101074,{},SpatialBattery/train/61973001/motion_duration_cued/24720
3092,24736,519456,motion_duration_cued_D24,24,1.3881425857543945,0.125,0.608960747718811,0,35,1.8204553127288818,{},SpatialBattery/train/61973001/motion_duration_cued/24728
3093,24744,519640,motion_duration_cued_D12,12,1.3851299285888672,0.375,0.3456708490848541,0,23,1.208240270614624,{},SpatialBattery/train/61973001/motion_duration_cued/24736
3094,24752,519920,motion_duration_cued_D24,24,1.3878445625305176,0.125,0.3498789966106415,0,35,1.8303558826446533,{},SpatialBattery/train/61973001/motion_duration_cued/24744
3095,24760,520040,motion_duration_cued_D4,4,1.386809229850769,0.125,0.36310118436813354,0,15,0.7716882228851318,{},SpatialBattery/train/61973001/motion_duration_cued/24752
3096,24768,520128,motion_duration_cued_D0,0,1.3866615295410156,0.25,0.37092477083206177,0,11,0.5912215709686279,{},SpatialBattery/train/61973001/motion_duration_cued/24760
3097,24776,520216,motion_duration_cued_D0,0,1.3861812353134155,0.5,0.6383556723594666,0,11,0.5843186378479004,{},SpatialBattery/train/61973001/motion_duration_cued/24768
3098,24784,520336,motion_duration_cued_D4,4,1.3867954015731812,0.125,0.6276411414146423,0,15,0.7780613899230957,{},SpatialBattery/train/61973001/motion_duration_cued/24776
3099,24792,520520,motion_duration_cued_D12,12,1.3862053155899048,0.375,0.3475683629512787,0,23,1.2199952602386475,{},SpatialBattery/train/61973001/motion_duration_cued/24784
3100,24800,520800,motion_duration_cued_D24,24,1.3867793083190918,0.125,0.34603333473205566,0,35,1.8605029582977295,{},SpatialBattery/train/61973001/motion_duration_cued/24792
3101,24808,520920,motion_duration_cued_D4,4,1.3862440586090088,0.25,0.36230605840682983,0,15,0.7705252170562744,{},SpatialBattery/train/61973001/motion_duration_cued/24800
3102,24816,521104,motion_duration_cued_D12,12,1.3866337537765503,0.25,0.34766170382499695,0,23,1.2197134494781494,{},SpatialBattery/train/61973001/motion_duration_cued/24808
3103,24824,521192,motion_duration_cued_D0,0,1.3868502378463745,0.125,0.3675539195537567,0,11,0.5699968338012695,{},SpatialBattery/train/61973001/motion_duration_cued/24816
3104,24832,521472,motion_duration_cued_D24,24,1.3863483667373657,0.25,0.34578898549079895,0,35,1.845698356628418,{},SpatialBattery/train/61973001/motion_duration_cued/24824
3105,24840,521592,motion_duration_cued_D4,4,1.38621985912323,0.25,0.35274067521095276,0,15,0.7896163463592529,{},SpatialBattery/train/61973001/motion_duration_cued/24832
3106,24848,521680,motion_duration_cued_D0,0,1.3867931365966797,0.125,0.36579710245132446,0,11,0.5675783157348633,{},SpatialBattery/train/61973001/motion_duration_cued/24840
3107,24856,521864,motion_duration_cued_D12,12,1.3869107961654663,0.125,0.5989910960197449,0,23,1.2092812061309814,{},SpatialBattery/train/61973001/motion_duration_cued/24848
3108,24864,522144,motion_duration_cued_D24,24,1.386671781539917,0.375,0.5982882380485535,0,35,1.824678659439087,{},SpatialBattery/train/61973001/motion_duration_cued/24856
3109,24872,522232,motion_duration_cued_D0,0,1.3847975730895996,0.5,0.7300347089767456,0,11,0.5982687473297119,{},SpatialBattery/train/61973001/motion_duration_cued/24864
3110,24880,522416,motion_duration_cued_D12,12,1.3865463733673096,0.25,0.6975261569023132,0,23,1.2053887844085693,{},SpatialBattery/train/61973001/motion_duration_cued/24872
3111,24888,522696,motion_duration_cued_D24,24,1.38588547706604,0.375,0.3458244800567627,0,35,1.8191184997558594,{},SpatialBattery/train/61973001/motion_duration_cued/24880
3112,24896,522816,motion_duration_cued_D4,4,1.3871256113052368,0.25,0.36700692772865295,0,15,0.807335376739502,{},SpatialBattery/train/61973001/motion_duration_cued/24888
3113,24904,523096,motion_duration_cued_D24,24,1.3861241340637207,0.375,0.34438496828079224,0,35,1.8439064025878906,{},SpatialBattery/train/61973001/motion_duration_cued/24896
3114,24912,523216,motion_duration_cued_D4,4,1.3872102499008179,0.25,0.3584202527999878,0,15,0.7726483345031738,{},SpatialBattery/train/61973001/motion_duration_cued/24904
3115,24920,523400,motion_duration_cued_D12,12,1.3869965076446533,0.125,0.48676931858062744,0,23,1.2098183631896973,{},SpatialBattery/train/61973001/motion_duration_cued/24912
