step,stage,family,condition,episodes,visual_updates,loss,grad_norm,accuracy,frames,step_seconds,wall_utc
42,bridge,natural_spectrum,bridge_integrate_visible,168,660,0.4079470634460449,5.9779767990112305,0.75,5,0.20399999991059303,2026-09-13T01:13:06.815815+00:00
43,bridge,motion_direction,bridge_integrate_transient,172,680,1.2769370079040527,3.220243453979492,0.5,5,0.13999999989755452,2026-09-13T01:13:06.953003+00:00
44,bridge,orientation,bridge_integrate_transient,176,700,0.9103831052780151,10.664823532104492,0.5,5,0.15600000019185245,2026-09-13T01:13:07.100559+00:00
45,bridge,contrast,bridge_integrate_transient,180,720,1.4014918804168701,8.005011558532715,0.5,5,0.14099999982863665,2026-09-13T01:13:07.245681+00:00
46,bridge,spatial_frequency,bridge_integrate_transient,184,740,0.6431655287742615,6.231107234954834,0.5,5,0.15600000019185245,2026-09-13T01:13:07.401316+00:00
47,bridge,chromatic_increment,bridge_integrate_transient,188,760,2.303121328353882,11.209074020385742,0.5,5,0.15699999989010394,2026-09-13T01:13:07.558692+00:00
48,bridge,contour,bridge_integrate_transient,192,776,0.4865086078643799,2.2432472705841064,0.75,4,0.1559999999590218,2026-09-13T01:13:07.715067+00:00
49,bridge,natural_spectrum,bridge_integrate_transient,196,796,1.3725956678390503,7.77352237701416,0.5,5,0.2190000000409782,2026-09-13T01:13:07.934649+00:00
50,bridge,motion_direction,bridge_recall,200,816,1.2839620113372803,2.5362939834594727,0.5,5,0.13999999989755452,2026-09-13T01:13:08.080293+00:00
51,bridge,orientation,bridge_recall,204,836,0.6190978288650513,2.5781211853027344,0.75,5,0.15600000019185245,2026-09-13T01:13:08.230555+00:00
52,bridge,contrast,bridge_recall,208,856,1.5911808013916016,6.905009746551514,0.5,5,0.14099999982863665,2026-09-13T01:13:08.373915+00:00
53,bridge,spatial_frequency,bridge_recall,212,876,0.804304838180542,4.963582515716553,0.5,5,0.1720000000204891,2026-09-13T01:13:08.539015+00:00
54,bridge,chromatic_increment,bridge_recall,216,896,6.012677192687988,20.390369415283203,0.5,5,0.1559999999590218,2026-09-13T01:13:08.700857+00:00
55,bridge,contour,bridge_recall,220,916,3.697335958480835,19.27738380432129,0.5,5,0.20300000021234155,2026-09-13T01:13:08.899182+00:00
56,bridge,natural_spectrum,bridge_recall,224,936,2.7382097244262695,16.290748596191406,0.5,5,0.2029999999795109,2026-09-13T01:13:09.110041+00:00
57,bridge,motion_direction,anchor,228,944,0.04795485734939575,4.386225700378418,1.0,2,0.09399999980814755,2026-09-13T01:13:09.193996+00:00
58,bridge,orientation,anchor,232,952,0.005814822856336832,0.24682025611400604,1.0,2,0.06300000008195639,2026-09-13T01:13:09.267620+00:00
59,bridge,contrast,anchor,236,960,0.005846829619258642,0.11649169772863388,1.0,2,0.09300000010989606,2026-09-13T01:13:09.349382+00:00
60,bridge,spatial_frequency,anchor,240,968,0.030597172677516937,1.0776931047439575,1.0,2,0.06299999984912574,2026-09-13T01:13:09.420271+00:00
61,bridge,chromatic_increment,anchor,244,976,0.006604914087802172,0.3002716600894928,1.0,2,0.0779999999795109,2026-09-13T01:13:09.495431+00:00
62,bridge,contour,anchor,248,984,0.03965603560209274,1.7480748891830444,1.0,2,0.0940000000409782,2026-09-13T01:13:09.592887+00:00
63,bridge,natural_spectrum,anchor,252,992,0.009797743521630764,0.27868324518203735,1.0,2,0.14000000013038516,2026-09-13T01:13:09.728425+00:00
64,bridge,motion_direction,bridge_integrate_visible,256,1012,1.3075529336929321,10.866595268249512,0.25,5,0.1720000000204891,2026-09-13T01:13:09.900563+00:00
65,bridge,orientation,bridge_integrate_visible,260,1032,0.6822264194488525,5.348437309265137,0.25,5,0.14099999982863665,2026-09-13T01:13:10.050264+00:00
66,bridge,contrast,bridge_integrate_visible,264,1052,0.6971389651298523,4.7567644119262695,0.5,5,0.1559999999590218,2026-09-13T01:13:10.204595+00:00
67,bridge,spatial_frequency,bridge_integrate_visible,268,1072,0.9129317402839661,8.711453437805176,0.5,5,0.1410000000614673,2026-09-13T01:13:10.345952+00:00
68,bridge,chromatic_increment,bridge_integrate_visible,272,1092,4.708621025085449,21.61090850830078,0.5,5,0.1559999999590218,2026-09-13T01:13:10.495865+00:00
69,bridge,contour,bridge_integrate_visible,276,1108,0.8632924556732178,2.8506832122802734,0.25,4,0.15600000019185245,2026-09-13T01:13:10.649898+00:00
70,bridge,natural_spectrum,bridge_integrate_visible,280,1128,0.9508137702941895,4.350091457366943,0.5,5,0.18799999984912574,2026-09-13T01:13:10.841047+00:00
71,bridge,motion_direction,bridge_integrate_transient,284,1148,1.5490341186523438,11.45450496673584,0.25,5,0.14000000013038516,2026-09-13T01:13:10.978879+00:00
72,bridge,orientation,bridge_integrate_transient,288,1168,1.0659632682800293,10.101517677307129,0.5,5,0.14099999982863665,2026-09-13T01:13:11.116909+00:00
73,bridge,contrast,bridge_integrate_transient,292,1188,0.7841190099716187,1.7614319324493408,0.25,5,0.1410000000614673,2026-09-13T01:13:11.261436+00:00
74,bridge,spatial_frequency,bridge_integrate_transient,296,1208,0.5507531762123108,2.456697702407837,0.75,5,0.14000000013038516,2026-09-13T01:13:11.407955+00:00
75,bridge,chromatic_increment,bridge_integrate_transient,300,1228,0.35759222507476807,7.074933052062988,0.75,5,0.15699999989010394,2026-09-13T01:13:11.553035+00:00
76,bridge,contour,bridge_integrate_transient,304,1244,0.5497273206710815,1.2201104164123535,0.75,4,0.125,2026-09-13T01:13:11.692075+00:00
