step,episodes,frames_total,loss,accuracy,gradient_norm,clipped,seconds,task_losses,task_accuracies,cells,diagnostics
5362,214480,4503952,0.8277036309242248,0.45,0.2904473543167114,0,1.9064395427703857,"{""orientation_cued"": 0.6952704191207886, ""motion_duration_cued"": 1.387961745262146, ""krauzlis_cued_motion"": 0.6720737814903259, ""spatial_binding"": 0.6930147409439087, ""image_recognition"": 0.6901974678039551}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.625}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5363,214520,4505072,0.8224019408226013,0.475,0.24778230488300323,0,2.842345952987671,"{""orientation_cued"": 0.6933391690254211, ""motion_duration_cued"": 1.386181116104126, ""krauzlis_cued_motion"": 0.6448778510093689, ""spatial_binding"": 0.6931049823760986, ""image_recognition"": 0.6945065855979919}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5364,214560,4505760,0.8439053654670715,0.45,0.3538620173931122,0,1.7451398372650146,"{""orientation_cued"": 0.6931325793266296, ""motion_duration_cued"": 1.3873100280761719, ""krauzlis_cued_motion"": 0.7554402351379395, ""spatial_binding"": 0.6933203339576721, ""image_recognition"": 0.6903236508369446}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.25, ""spatial_binding"": 0.5, ""image_recognition"": 0.75}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5365,214600,4506672,0.8380870699882508,0.475,0.19990508258342743,0,2.251713514328003,"{""orientation_cued"": 0.6932408809661865, ""motion_duration_cued"": 1.3865056037902832, ""krauzlis_cued_motion"": 0.7280100584030151, ""spatial_binding"": 0.6930177807807922, ""image_recognition"": 0.6896610260009766}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.375, ""spatial_binding"": 0.5, ""image_recognition"": 0.75}","{""orientation_cued"": ""orientation_cued_D0"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D24"", ""image_recognition"": ""image_recognition_N24_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5366,214640,4507672,0.8158629655838012,0.55,0.34957435727119446,0,2.512768268585205,"{""orientation_cued"": 0.6935521364212036, ""motion_duration_cued"": 1.3857078552246094, ""krauzlis_cued_motion"": 0.6155126690864563, ""spatial_binding"": 0.692159116268158, ""image_recognition"": 0.6923830509185791}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.875, ""spatial_binding"": 0.5, ""image_recognition"": 0.625}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N24_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5367,214680,4508512,0.6947337388130108,0.55,0.13402588665485382,0,2.099719285964966,"{""orientation_cued"": 0.6931990385055542, ""motion_duration_cued"": 1.3876152038574219, ""krauzlis_cued_motion"": 0.6996657252311707, ""spatial_binding"": 0.6931729316711426, ""image_recognition"": 1.5794799764989875e-05}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D12"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N0_H4""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5368,214720,4509440,0.8271937131881714,0.475,0.13527685403823853,0,2.3163633346557617,"{""orientation_cued"": 0.6932250261306763, ""motion_duration_cued"": 1.3856526613235474, ""krauzlis_cued_motion"": 0.6709504127502441, ""spatial_binding"": 0.6930214762687683, ""image_recognition"": 0.6931189894676208}","{""orientation_cued"": 0.5, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B28"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N24_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5369,214760,4510224,0.6945130077529029,0.55,0.28644290566444397,0,1.8843638896942139,"{""orientation_cued"": 0.6922124624252319, ""motion_duration_cued"": 1.3878573179244995, ""krauzlis_cued_motion"": 0.6994073987007141, ""spatial_binding"": 0.6930574178695679, ""image_recognition"": 3.0441844501183368e-05}","{""orientation_cued"": 0.625, ""motion_duration_cued"": 0.125, ""krauzlis_cued_motion"": 0.5, ""spatial_binding"": 0.5, ""image_recognition"": 1.0}","{""orientation_cued"": ""orientation_cued_D12"", ""motion_duration_cued"": ""motion_duration_cued_D24"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D4"", ""image_recognition"": ""image_recognition_N0_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5370,214800,4510912,0.8214376926422119,0.5,0.34787729382514954,0,1.7475764751434326,"{""orientation_cued"": 0.6944360136985779, ""motion_duration_cued"": 1.3854913711547852, ""krauzlis_cued_motion"": 0.6410967111587524, ""spatial_binding"": 0.6933744549751282, ""image_recognition"": 0.6927899122238159}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.375, ""krauzlis_cued_motion"": 0.75, ""spatial_binding"": 0.5, ""image_recognition"": 0.5}","{""orientation_cued"": ""orientation_cued_D4"", ""motion_duration_cued"": ""motion_duration_cued_D4"", ""krauzlis_cued_motion"": ""krauzlis_B20"", ""spatial_binding"": ""spatial_binding_D0"", ""image_recognition"": ""image_recognition_N12_H5""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
5371,214840,4511744,0.8280615329742431,0.425,0.23128075897693634,0,2.073462724685669,"{""orientation_cued"": 0.6946282982826233, ""motion_duration_cued"": 1.386513113975525, ""krauzlis_cued_motion"": 0.6704869270324707, ""spatial_binding"": 0.6930097341537476, ""image_recognition"": 0.6956695914268494}","{""orientation_cued"": 0.375, ""motion_duration_cued"": 0.25, ""krauzlis_cued_motion"": 0.625, ""spatial_binding"": 0.5, ""image_recognition"": 0.375}","{""orientation_cued"": ""orientation_cued_D24"", ""motion_duration_cued"": ""motion_duration_cued_D0"", ""krauzlis_cued_motion"": ""krauzlis_B12"", ""spatial_binding"": ""spatial_binding_D12"", ""image_recognition"": ""image_recognition_N12_H3""}","{""orientation_cued"": {}, ""motion_duration_cued"": {}, ""krauzlis_cued_motion"": {}, ""spatial_binding"": {}, ""image_recognition"": {}}"
