step,stage,family,condition,episodes,visual_updates,loss,grad_norm,clipped,accuracy,diagnostics,frames,step_seconds,wall_utc
33,focused,motion_direction,motion_L2,264,1896,1.404004693031311,0.32155945897102356,0,0.0,{},5,0.2001807529013604,2026-09-13T03:40:49.856339+00:00
34,focused,orientation,orientation_recall_minimal,272,1936,0.7006482481956482,0.28425082564353943,0,0.5,{},5,0.16467795218341053,2026-09-13T03:40:50.022524+00:00
35,focused,motion_direction,motion_L8,280,2024,1.3769726753234863,0.33275800943374634,0,0.125,{},11,0.38213247479870915,2026-09-13T03:40:50.406854+00:00
36,focused,orientation,orientation_recall_D4,288,2112,0.6799548268318176,0.3092195689678192,0,0.5,{},11,0.36404731101356447,2026-09-13T03:40:50.772846+00:00
37,focused,motion_direction,motion_L2,296,2152,1.3892021179199219,0.3404630422592163,0,0.125,{},5,0.18749937508255243,2026-09-13T03:40:50.980579+00:00
38,focused,orientation,orientation_recall_minimal,304,2192,0.6913950443267822,0.31107062101364136,0,0.5,{},5,0.1757855110336095,2026-09-13T03:40:51.157756+00:00
39,focused,motion_direction,motion_L8,312,2280,1.3828448057174683,0.3246206045150757,0,0.375,{},11,0.3786882560234517,2026-09-13T03:40:51.538753+00:00
40,focused,orientation,orientation_recall_D4,320,2368,0.7115398049354553,0.3396831154823303,0,0.375,{},11,0.3421762618236244,2026-09-13T03:40:51.883260+00:00
41,focused,motion_direction,motion_anchor,328,2384,1.371290683746338,35.757755279541016,1,0.625,{},2,0.07901520188897848,2026-09-13T03:40:51.963162+00:00
42,focused,motion_direction,motion_L2,336,2424,1.3879013061523438,0.3237757086753845,0,0.25,{},5,0.17121428903192282,2026-09-13T03:40:52.135707+00:00
43,focused,orientation,orientation_recall_minimal,344,2464,0.7092069387435913,0.30276599526405334,0,0.625,{},5,0.17973216506652534,2026-09-13T03:40:52.317064+00:00
44,focused,motion_direction,motion_L8,352,2552,1.3929603099822998,0.37358102202415466,0,0.25,{},11,0.37274112505838275,2026-09-13T03:40:52.691514+00:00
45,focused,orientation,orientation_recall_D4,360,2640,0.6940915584564209,0.3284074664115906,0,0.625,{},11,0.3597973280120641,2026-09-13T03:40:53.053425+00:00
46,focused,motion_direction,motion_L2,368,2680,1.3957182168960571,0.357932984828949,0,0.125,{},5,0.1847398029640317,2026-09-13T03:40:53.239664+00:00
47,focused,orientation,orientation_recall_minimal,376,2720,0.6885943412780762,0.3181864619255066,0,0.625,{},5,0.21693152585066855,2026-09-13T03:40:53.458004+00:00
48,focused,motion_direction,motion_L8,384,2808,1.3600316047668457,0.31076955795288086,0,0.5,{},11,0.37204583920538425,2026-09-13T03:40:53.832272+00:00
49,focused,orientation,orientation_recall_D4,392,2896,0.6954118013381958,0.2870952785015106,0,0.5,{},11,0.3382391470950097,2026-09-13T03:40:54.172644+00:00
50,focused,motion_direction,motion_L2,400,2936,1.3962910175323486,0.32608991861343384,0,0.0,{},5,0.17546121194027364,2026-09-13T03:40:54.349755+00:00
51,focused,orientation,orientation_anchor,408,2952,0.0033882225397974253,0.12023312598466873,0,1.0,{},2,0.0786037149373442,2026-09-13T03:40:54.429446+00:00
52,focused,orientation,orientation_recall_minimal,416,2992,0.7439220547676086,0.34683969616889954,0,0.25,{},5,0.1753503130748868,2026-09-13T03:40:54.606690+00:00
53,focused,motion_direction,motion_L8,424,3080,1.4218246936798096,0.34329938888549805,0,0.25,{},11,0.37434539501555264,2026-09-13T03:40:54.983324+00:00
54,focused,orientation,orientation_recall_D4,432,3168,0.7035062909126282,0.3584626615047455,0,0.5,{},11,0.36271494906395674,2026-09-13T03:40:55.348113+00:00
55,focused,motion_direction,motion_L2,440,3208,1.3996920585632324,0.32731273770332336,0,0.125,{},5,0.18005173280835152,2026-09-13T03:40:55.530547+00:00
56,focused,orientation,orientation_recall_minimal,448,3248,0.6968995928764343,0.3393920361995697,0,0.625,{},5,0.1643263241276145,2026-09-13T03:40:55.696348+00:00
57,focused,motion_direction,motion_L8,456,3336,1.3856136798858643,0.3430192768573761,0,0.25,{},11,0.39586798613891006,2026-09-13T03:40:56.094264+00:00
58,focused,orientation,orientation_recall_D4,464,3424,0.7106329798698425,0.314895361661911,0,0.375,{},11,0.37535488908179104,2026-09-13T03:40:56.472393+00:00
59,focused,motion_direction,motion_L2,472,3464,1.394071340560913,0.3292742073535919,0,0.125,{},5,0.1987475729547441,2026-09-13T03:40:56.672802+00:00
60,focused,orientation,orientation_recall_minimal,480,3504,0.6708666682243347,0.32543879747390747,0,0.625,{},5,0.17667580512352288,2026-09-13T03:40:56.850949+00:00
