step,task,fresh_pairs,loss,grad_norm,accuracy,step_seconds,wall_utc
1,contour,32,0.7027312517166138,1.9038480520248413,0.5,1.843000000109896,2026-09-12T23:55:15.727361+00:00
2,motion_direction,64,1.3977243900299072,1.5746738910675049,0.28125,0.125,2026-09-12T23:55:15.848486+00:00
3,contour,96,0.8699649572372437,3.1240909099578857,0.5,0.1720000000204891,2026-09-12T23:55:16.034689+00:00
4,orientation,128,0.7241412401199341,0.9162143468856812,0.28125,0.0940000000409782,2026-09-12T23:55:16.142478+00:00
5,contour,160,0.6980412602424622,0.6086058020591736,0.5,0.2029999999795109,2026-09-12T23:55:16.337614+00:00
6,contrast,192,0.6993217468261719,0.8499692678451538,0.5,0.10899999993853271,2026-09-12T23:55:16.448076+00:00
7,contour,224,0.6953909397125244,0.23657169938087463,0.5,0.1720000000204891,2026-09-12T23:55:16.617418+00:00
8,spatial_frequency,256,0.7196189165115356,0.9700049757957458,0.5,0.10900000017136335,2026-09-12T23:55:16.729863+00:00
9,contour,288,0.7091302871704102,0.5066183805465698,0.5,0.1720000000204891,2026-09-12T23:55:16.898303+00:00
10,chromatic_increment,320,0.7189247012138367,0.6575788259506226,0.5,0.10999999986961484,2026-09-12T23:55:17.015183+00:00
11,contour,352,0.700774073600769,0.3934459388256073,0.5,0.1869999999180436,2026-09-12T23:55:17.199648+00:00
12,natural_spectrum,384,0.707758903503418,1.0962339639663696,0.5,0.5160000000614673,2026-09-12T23:55:17.707651+00:00
13,contour,416,0.6900954842567444,0.31444668769836426,0.53125,0.1720000000204891,2026-09-12T23:55:17.883283+00:00
14,motion_direction,448,1.4189424514770508,0.5598875880241394,0.1875,0.125,2026-09-12T23:55:18.004837+00:00
15,contour,480,0.7061125040054321,0.2600117623806,0.4375,0.1869999999180436,2026-09-12T23:55:18.195488+00:00
16,orientation,512,0.6928542852401733,0.280165433883667,0.625,0.11000000010244548,2026-09-12T23:55:18.311612+00:00
17,contour,544,0.7036116719245911,0.22753411531448364,0.40625,0.1869999999180436,2026-09-12T23:55:18.494379+00:00
18,contrast,576,0.7105897665023804,0.6400597095489502,0.5,0.10900000017136335,2026-09-12T23:55:18.606010+00:00
19,contour,608,0.6931078433990479,0.14081279933452606,0.53125,0.18799999984912574,2026-09-12T23:55:18.791918+00:00
20,spatial_frequency,640,0.6934190392494202,0.2891100347042084,0.5,0.10900000017136335,2026-09-12T23:55:18.906068+00:00
21,contour,672,0.7027572393417358,0.17257817089557648,0.4375,0.17199999978765845,2026-09-12T23:55:19.072982+00:00
22,chromatic_increment,704,0.7089510560035706,0.5128365755081177,0.5,0.125,2026-09-12T23:55:19.194486+00:00
23,contour,736,0.690933883190155,0.2097105085849762,0.5,0.1880000000819564,2026-09-12T23:55:19.392051+00:00
24,natural_spectrum,768,0.6873406171798706,0.31482043862342834,0.5625,0.4369999999180436,2026-09-12T23:55:19.832621+00:00
25,contour,800,0.6920163035392761,0.15582695603370667,0.53125,0.1720000000204891,2026-09-12T23:55:20.009269+00:00
26,motion_direction,832,1.3952581882476807,0.22223448753356934,0.28125,0.125,2026-09-12T23:55:20.139495+00:00
27,contour,864,0.6923604011535645,0.15309621393680573,0.53125,0.25,2026-09-12T23:55:20.380355+00:00
28,orientation,896,0.7042247653007507,0.2732880115509033,0.5,0.125,2026-09-12T23:55:20.505560+00:00
29,contour,928,0.6990990042686462,0.15136905014514923,0.34375,0.26500000013038516,2026-09-12T23:55:20.784632+00:00
30,contrast,960,0.6966816782951355,0.2931826710700989,0.4375,0.125,2026-09-12T23:55:20.896426+00:00
31,contour,992,0.6915837526321411,0.1271415799856186,0.53125,0.21899999980814755,2026-09-12T23:55:21.114301+00:00
